B,family,point,pattern,delta_R_weighted_nonfail,delta_R_count,delta_R_count_nonfail,delta_clean_starts,delta_clean_ratio,delta_starts,delta_attack_starts,delta_busy_steps,delta_utilization,delta_failures,delta_attack_failures,delta_clean_failures,delta_cost_per_step,delta_D95,delta_expired,delta_horizon,delta_final_active_Tminus1,delta_unfinished_T,delta_idle_with_waiting,delta_competition_steps,delta_no_eligible_with_free_waiting,delta_expiry_with_free_slot
2,B,ALL_ACCEPT,cfD,0.0023970277981989474,0.020572263993316575,0.020572263993316686,29.0,0.8233809924306139,32.5,3.5,32.5,0.030092592592592587,2.5,0.0,2.5,1.7401708645935745,0.0,-32.5,0.0,0.0,0.0,-113.0,-54.0,-94.0,-32.5
2,B,Q10,cfA,0.02075444642657498,0.06610517036526009,0.06172626576214013,28.0,0.4600185242358753,43.0,15.0,43.0,0.0398148148148148,5.5,1.0,4.5,2.1760908175173768,-0.5,-65.5,0.0,0.0,0.0,-167.0,-126.5,-109.5,-64.5
2,B,Q10,cfB,0.0030058085674766755,0.012929545273340892,0.012929545273340892,31.0,0.5892857142857143,33.5,2.5,34.0,0.031481481481481444,4.0,0.0,4.0,2.0744506238322415,-0.5,-43.5,-5.5,0.0,0.0,-122.5,-63.5,-98.5,-43.5
2,B,Q10,cfC,0.008797593218759281,0.03424401197604798,0.03140310288513881,20.0,0.48580645161290326,26.0,6.0,26.0,0.02407407407407408,4.0,0.5,3.5,1.5021187029428873,-0.5,-39.0,-3.0,0.5,0.0,-120.0,-63.5,-99.0,-39.0
2,B,Q10,cfD,0.0023970277981989474,0.020572263993316575,0.020572263993316686,13.0,0.36248948696383515,16.5,3.5,16.5,0.015277777777777779,1.5,0.0,1.5,0.8713144565756927,0.0,-32.5,0.0,0.0,0.0,-113.0,-54.0,-94.0,-32.5
2,B,Q25,cfA,-0.0007094353196226422,-0.0019259514775209485,-0.0019259514775209485,3.0,0.032108675517134866,2.5,-0.5,2.5,0.002314814814814825,0.0,0.0,0.0,0.03986187941008268,-0.5,-65.5,0.0,0.0,0.0,-167.0,-126.5,-109.5,-64.5
2,B,Q25,cfB,-0.0030014781245270017,-0.012849815292210298,-0.01284981529221041,2.0,0.04081632653061226,-0.5,-2.5,-0.5,-0.0004629629629629983,1.0,0.0,1.0,-0.13287147947107059,0.0,-43.5,-5.5,0.0,0.0,-122.5,-63.5,-98.5,-43.5
2,B,Q25,cfC,0.0007987220447283061,0.0028409090909090606,0.0028409090909091717,0.0,0.0,0.5,0.5,0.5,0.00046296296296297057,1.0,0.0,1.0,0.03375834934028532,-0.5,-39.0,-3.0,0.0,0.0,-120.0,-63.5,-99.0,-39.0
2,B,Q25,cfD,-0.002056204809265827,-0.020728905597326763,-0.017752715121136187,-2.0,-0.05887300252312867,-5.5,-3.5,-5.5,-0.005092592592592593,-1.0,-0.5,-0.5,-0.3761101084454239,0.0,-32.5,0.0,0.0,0.0,-113.0,-54.0,-94.0,-32.5
2,B,Q50,cfA,-0.1500947858083772,-0.310480625503047,-0.29531255988655103,-8.0,-0.13646187094782342,-79.0,-71.0,-81.5,-0.07546296296296295,-8.0,-3.5,-4.5,-5.4731458578284204,0.0,-65.5,0.0,0.0,0.0,-167.0,-136.5,-109.5,-64.5
2,B,Q50,cfB,-0.08586306048762737,-0.2805565152682914,-0.2651686289100912,-4.5,-0.08418367346938775,-59.0,-54.5,-61.0,-0.05648148148148152,-4.0,-3.0,-1.0,-4.749981531021621,0.125,-43.5,-5.5,0.0,0.0,-122.5,-63.5,-98.5,-43.5
2,B,Q50,cfC,-0.12685613337406787,-0.28322332607512246,-0.26257144801306476,-4.5,-0.10838709677419354,-53.0,-48.5,-54.0,-0.05000000000000002,-5.5,-3.5,-2.0,-3.6144050534577694,-0.5,-39.0,-3.0,0.0,0.0,-120.0,-65.0,-99.0,-39.0
2,B,Q50,cfD,-0.04179588364697484,-0.177109440267335,-0.15632832080200498,-5.5,-0.1644238856181665,-35.5,-30.0,-38.0,-0.03518518518518518,-6.0,-3.5,-2.5,-2.502937302127137,0.0,-32.5,0.0,0.0,0.0,-113.0,-54.5,-94.0,-32.5
2,B,Q60,cfA,-0.2112237333942556,-0.3738166417538614,-0.3542696715342456,-8.5,-0.14279098487187405,-94.0,-85.5,-103.5,-0.09583333333333333,-9.0,-4.5,-4.5,-6.24205804422375,-0.10000000000000142,-65.5,0.0,0.0,0.0,-167.0,-142.5,-109.5,-64.5
2,B,Q60,cfB,-0.1386636702139945,-0.37026603237037237,-0.34726393281420265,-5.0,-0.09311224489795919,-77.0,-72.0,-79.5,-0.07361111111111113,-5.5,-4.5,-1.0,-5.887161618811732,0.5,-43.5,-5.5,0.0,0.0,-122.5,-63.5,-98.5,-43.5
2,B,Q60,cfC,-0.21554103385960066,-0.40859757757212845,-0.378963663581927,-5.0,-0.11838709677419355,-75.0,-70.0,-80.0,-0.07407407407407407,-7.0,-5.0,-2.0,-5.376569472464979,-0.5,-39.0,-3.0,0.0,0.0,-120.0,-69.0,-99.0,-39.0
2,B,Q60,cfD,-0.07879912005701084,-0.26268796992481214,-0.2360588972431078,-5.5,-0.1644238856181665,-50.0,-44.5,-55.5,-0.0513888888888889,-7.0,-4.5,-2.5,-3.693128446602106,0.0,-32.5,0.0,0.0,0.0,-113.0,-54.5,-94.0,-32.5
2,B,Q70,cfA,-0.370352943463911,-0.504656778199379,-0.4786995515695067,-10.5,-0.17397344859524547,-126.0,-115.5,-166.5,-0.15416666666666667,-10.5,-6.0,-4.5,-8.225939996315445,-1.5,-66.5,0.0,0.0,0.0,-167.0,-172.0,-109.5,-65.5
2,B,Q70,cfB,-0.19333936173761757,-0.4372923698408058,-0.41429027028463605,-6.0,-0.11352040816326531,-91.0,-85.0,-103.0,-0.09537037037037038,-5.5,-4.5,-1.0,-6.825064813883053,0.0,-43.5,-5.5,0.0,0.0,-122.5,-67.0,-98.5,-43.5
2,B,Q70,cfC,-0.3145527933264639,-0.519767283614589,-0.4901333696243876,-5.0,-0.11838709677419355,-94.0,-89.0,-116.5,-0.10787037037037037,-7.0,-5.0,-2.0,-6.483172103288526,-0.9250000000000043,-39.0,-3.0,0.0,0.0,-120.0,-72.0,-99.0,-39.0
2,B,Q70,cfD,-0.09660641704903639,-0.3009085213032582,-0.27427944862155385,-5.5,-0.1644238856181665,-56.5,-51.0,-65.0,-0.0601851851851852,-7.0,-4.5,-2.5,-4.314733422648706,0.0,-32.5,0.0,0.0,0.0,-113.0,-54.5,-94.0,-32.5
2,B,Q80,cfA,-0.608071011583312,-0.6825821164386187,-0.6566248898087463,-11.0,-0.1803025625192961,-167.0,-156.0,-241.0,-0.22314814814814815,-10.5,-6.0,-4.5,-10.64276159743151,-2.0,-66.5,0.0,0.0,0.0,-167.0,-180.5,-109.5,-65.5
2,B,Q80,cfB,-0.249047302551048,-0.502019826188641,-0.4790177266324714,-6.0,-0.11352040816326531,-103.5,-97.5,-122.5,-0.11342592592592593,-5.5,-4.5,-1.0,-7.6087411157475255,0.0,-43.5,-5.5,0.0,0.0,-122.5,-68.0,-98.5,-43.5
2,B,Q80,cfC,-0.3995142078455133,-0.6156607240065324,-0.586026810016331,-5.0,-0.11838709677419355,-110.5,-105.5,-139.0,-0.1287037037037037,-7.0,-5.0,-2.0,-7.609849450422802,-0.45000000000000284,-39.0,-3.0,0.0,0.0,-120.0,-72.5,-99.0,-39.0
2,B,Q80,cfD,-0.10619734496074917,-0.3215329991645781,-0.2949039264828738,-5.5,-0.1644238856181665,-60.0,-54.5,-69.5,-0.06435185185185185,-7.0,-4.5,-2.5,-4.510826423441642,0.0,-32.5,0.0,0.0,0.0,-113.0,-54.5,-94.0,-32.5
2,B,Q90,cfA,-0.8103805042605007,-0.8356329768885822,-0.80967575025871,-11.0,-0.1803025625192961,-202.0,-191.0,-306.5,-0.28379629629629627,-10.5,-6.0,-4.5,-13.099204202303376,-2.0,-66.5,0.0,0.0,0.0,-167.0,-180.5,-109.5,-65.5
2,B,Q90,cfB,-0.33682297534149575,-0.5849921598851888,-0.5619900603290191,-6.5,-0.12244897959183673,-120.0,-113.5,-153.5,-0.14212962962962966,-5.5,-4.5,-1.0,-8.865304022555327,-0.5,-43.5,-5.5,0.0,0.0,-122.5,-71.0,-98.5,-43.5
2,B,Q90,cfC,-0.5105029144077204,-0.7148543821448012,-0.6852204681545999,-5.5,-0.12838709677419355,-128.0,-122.5,-170.5,-0.15787037037037038,-7.0,-5.0,-2.0,-8.805793313999613,-0.5,-39.0,-3.0,0.0,0.0,-120.0,-74.5,-99.0,-39.0
2,B,Q90,cfD,-0.15691800249561294,-0.37766290726817053,-0.3510338345864662,-6.0,-0.17661900756938603,-70.0,-64.0,-84.5,-0.07824074074074075,-7.0,-4.5,-2.5,-5.337353797854375,0.0,-32.5,0.0,0.0,0.0,-113.0,-56.0,-94.0,-32.5
2,B,NONE_ACCEPT,cfA,-0.9482021076475136,-0.9228948679621325,-0.8969376413322602,-11.0,-0.1803025625192961,-222.0,-211.0,-333.5,-0.3087962962962963,-10.5,-6.0,-4.5,-14.36691924363609,,-66.5,0.0,0.0,0.0,-167.0,-180.5,-109.5,-65.5
2,B,NONE_ACCEPT,cfB,-0.9860046499334074,-0.9845323836606692,-0.9615302841044995,-6.5,-0.12244897959183673,-197.5,-191.0,-275.0,-0.25462962962962965,-5.5,-4.5,-1.0,-13.0770724597619,,-43.5,-5.5,0.0,0.0,-122.5,-73.0,-98.5,-43.5
2,B,NONE_ACCEPT,cfC,-0.9683467014635039,-0.9600741698421339,-0.9304402558519325,-5.5,-0.12838709677419355,-170.0,-164.5,-237.5,-0.2199074074074074,-7.0,-5.0,-2.0,-10.557527043420485,,-39.0,-3.0,0.0,0.0,-120.0,-78.0,-99.0,-39.0
2,B,NONE_ACCEPT,cfD,-0.98732335651493,-0.9794277360066834,-0.9527986633249791,-6.0,-0.17661900756938603,-172.0,-166.0,-244.5,-0.2263888888888889,-7.0,-4.5,-2.5,-10.658918301328704,,-32.5,0.0,0.0,0.0,-113.0,-62.5,-94.0,-32.5
2,D,FIXED,cfA,0.007395115857422696,0.004378904603119849,0.004378904603119849,0.0,0.0,1.0,1.0,2.0,0.0018518518518518268,0.0,0.0,0.0,0.14109273473503237,0.5,-1.0,0.0,0.0,0.0,-1.0,-2.0,-1.5,0.0
2,D,FIXED,cfB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,D,FIXED,cfC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,D,FIXED,cfD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
