section,artifact_path,artifact_type,n_rows,recover_fail_raw_key_present,recover_fail_numeric_vector,backend_fail_raw_key_present,backend_fail_numeric_vector,is_mixed_scheduler_bank,recover_fail_present,recover_fail_nan_count,recover_fail_all_zero,recover_fail_constant,recover_fail_frequency,backend_fail_present,backend_fail_nan_count,backend_fail_all_zero,backend_fail_constant,backend_fail_frequency,service_time_present_exact,service_time_derived_present,service_time_nan_count,service_time_constant,service_cost_present_exact,service_cost_derived_present,service_cost_nan_count,service_cost_constant,recover_fail_attack_frequency,recover_fail_clean_frequency,recover_corr_backend,recover_corr_product_proxy,recover_corr_additive_proxy,recover_corr_service_time,recover_corr_service_cost,holdout_id,budget,variant,served_attack_jobs,served_clean_jobs,served_recover_fail_attack_jobs,served_recover_fail_clean_jobs,served_recover_fail_attack_rate,served_recover_fail_clean_rate,served_backend_fail_attack_jobs,served_backend_fail_clean_jobs,served_backend_fail_attack_rate,served_backend_fail_clean_rate,served_recover_backend_corr
bank_field,metric/case14/mixed_bank_fit.npy,source_train_bank,218,True,True,True,True,True,True,0,True,True,0.0,True,0,False,False,0.04128440366972477,False,True,0,False,False,True,0,False,0.0,0.0,nan,nan,nan,nan,nan,,,,,,,,,,,,,,
bank_field,metric/case14/mixed_bank_eval.npy,source_val_bank,278,True,True,True,True,True,True,0,True,True,0.0,True,0,False,False,0.03597122302158273,False,True,0,False,False,True,0,False,0.0,0.0,nan,nan,nan,nan,nan,,,,,,,,,,,,,,
bank_field,metric/case39/phase3_confirm_blind_v2/banks/mixed_bank_test_cfC_interleaved_0_seed20260611_off1260.npy,holdout_4,172,True,True,True,True,True,True,0,False,False,0.0872093023255814,True,0,False,False,0.7558139534883721,False,True,0,False,False,True,0,False,0.08235294117647059,0.5,0.1756906996685501,-0.14304004036939244,-0.18263422388116038,-0.04635313242590243,-0.18851968114736567,,,,,,,,,,,,,,
bank_field,metric/case39/phase3_confirm_blind_v2/banks/mixed_bank_test_cfC_interleaved_1_seed20260612_off1320.npy,holdout_5,204,True,True,True,True,True,True,0,False,False,0.024509803921568627,True,0,False,False,0.8088235294117647,False,True,0,False,False,True,0,False,0.023391812865497075,0.030303030303030304,0.07706351168521411,0.07459555777264451,0.0488629041060231,0.011034945848922681,-0.10982463118104593,,,,,,,,,,,,,,
bank_field,metric/case39/phase3_confirm_blind_v2/banks/mixed_bank_test_cfD_tailheavy_0_seed20260621_off1380.npy,holdout_6,199,True,True,True,True,True,True,0,False,False,0.04522613065326633,True,0,False,False,0.6984924623115578,False,True,0,False,False,True,0,False,0.03428571428571429,0.125,0.14299230907420596,-0.16210688984731686,-0.1834067112062434,-0.09827437994043207,-0.12766340141434823,,,,,,,,,,,,,,
bank_field,metric/case39/phase3_confirm_blind_v2/banks/mixed_bank_test_cfD_tailheavy_1_seed20260622_off1440.npy,holdout_7,191,True,True,True,True,True,True,0,False,False,0.04712041884816754,True,0,False,False,0.6073298429319371,False,True,0,False,False,True,0,False,0.0446927374301676,0.08333333333333333,0.17880810386227103,-0.014735460849055505,-0.03388832149339762,-0.09128071998197729,-0.11057175041950919,,,,,,,,,,,,,,
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfA_frontloaded_0_seed20260511_off1020,1,anchored_retune,16,0,1,0,0.0625,0.0,13,0,0.8125,0.0,0.12403473458920845
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfA_frontloaded_1_seed20260512_off1080,1,anchored_retune,10,0,1,0,0.1,0.0,6,0,0.6,0.0,0.2721655269759088
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfB_backloaded_0_seed20260521_off1140,1,anchored_retune,21,0,1,0,0.047619047619047616,0.0,16,0,0.7619047619047619,0.0,0.12500000000000006
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfB_backloaded_1_seed20260522_off1200,1,anchored_retune,16,0,0,0,0.0,0.0,14,0,0.875,0.0,nan
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfC_interleaved_0_seed20260611_off1260,1,anchored_retune,13,0,2,0,0.15384615384615385,0.0,10,0,0.7692307692307693,0.0,0.23354968324845687
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfC_interleaved_1_seed20260612_off1320,1,anchored_retune,11,1,0,0,0.0,0.0,9,1,0.8181818181818182,1.0,nan
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfD_tailheavy_0_seed20260621_off1380,1,anchored_retune,9,0,0,0,0.0,0.0,9,0,1.0,0.0,nan
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfD_tailheavy_1_seed20260622_off1440,1,anchored_retune,7,0,0,0,0.0,0.0,5,0,0.7142857142857143,0.0,nan
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfA_frontloaded_0_seed20260511_off1020,2,anchored_retune,42,0,2,0,0.047619047619047616,0.0,33,0,0.7857142857142857,0.0,0.11677484162422842
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfA_frontloaded_1_seed20260512_off1080,2,anchored_retune,73,2,3,0,0.0410958904109589,0.0,64,2,0.8767123287671232,1.0,0.07537783614444084
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfB_backloaded_0_seed20260521_off1140,2,anchored_retune,51,1,1,0,0.0196078431372549,0.0,39,1,0.7647058823529411,1.0,0.07669649888473694
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfB_backloaded_1_seed20260522_off1200,2,anchored_retune,70,2,3,0,0.04285714285714286,0.0,54,2,0.7714285714285715,1.0,0.11145564251507048
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfC_interleaved_0_seed20260611_off1260,2,anchored_retune,61,0,8,0,0.13114754098360656,0.0,54,0,0.8852459016393442,0.0,0.13988115151037556
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfC_interleaved_1_seed20260612_off1320,2,anchored_retune,63,2,1,0,0.015873015873015872,0.0,56,2,0.8888888888888888,1.0,0.04342552086122816
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfD_tailheavy_0_seed20260621_off1380,2,anchored_retune,59,1,2,0,0.03389830508474576,0.0,55,1,0.9322033898305084,1.0,0.04962916669854655
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfD_tailheavy_1_seed20260622_off1440,2,anchored_retune,25,1,1,0,0.04,0.0,21,1,0.84,1.0,0.08528028654224419
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfA_frontloaded_0_seed20260511_off1020,1,native_safeguarded_retune,7,0,1,0,0.14285714285714285,0.0,3,0,0.42857142857142855,0.0,0.47140452079103146
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfA_frontloaded_1_seed20260512_off1080,1,native_safeguarded_retune,10,0,1,0,0.1,0.0,6,0,0.6,0.0,0.2721655269759088
holdout_variant_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfB_backloaded_0_seed20260521_off1140,1,native_safeguarded_retune,15,0,1,0,0.06666666666666667,0.0,11,0,0.7333333333333333,0.0,0.16116459280507606
