method,calibration_mode,alpha,fail_cap_quantile,B,n,recall,recall_median,scheduler_recall,scheduler_recall_median,backend_fail,backend_fail_median,cost,cost_median,unnecessary,unnecessary_median,served_ratio,served_ratio_median,served_attack_mass,served_attack_mass_median,backend_success_attack_mass,backend_success_attack_mass_median,clean_service,clean_service_median,recover_fail,recover_fail_median,delay_p50,delay_p50_median,delay_p95,delay_p95_median,average_service_time,average_service_time_median,average_service_cost,average_service_cost_median
TRBG-native-burden,TRBG-native-burden,0.1,0.9,1,8,0.09165344704797702,0.0968815415821501,0.09165344704797702,0.0968815415821501,101.75,98.0,0.3962841280570807,0.3761791173432909,12.875,13.5,0.5614660112643595,0.5699598911991148,44.162499999999994,44.075,10.29375,9.75,12.875,13.5,6.125,7.0,0.25,0.0,7.893749999999997,8.324999999999996,15.724432592644805,15.204708997654052,1.8423839985308363,1.7606636833822926
TRBG-native-burden,TRBG-native-burden,0.1,0.9,2,8,0.17344760504941864,0.19220908188137587,0.17344760504941864,0.19220908188137587,129.625,125.5,0.5425930788639677,0.5355962036498365,16.75,18.0,0.7502035802438327,0.7513679890560876,67.69375,61.574999999999996,19.506249999999998,18.724999999999998,16.75,18.0,7.875,8.5,0.0,0.0,5.88749999999999,5.949999999999989,20.219913744035555,18.673357223980076,1.8715704214849311,1.9067716060359245
TRBG-native-burden,TRBG-native-burden,0.1,0.95,1,8,0.09165344704797702,0.0968815415821501,0.09165344704797702,0.0968815415821501,101.75,98.0,0.3962841280570807,0.3761791173432909,12.875,13.5,0.5614660112643595,0.5699598911991148,44.162499999999994,44.075,10.29375,9.75,12.875,13.5,6.125,7.0,0.25,0.0,7.893749999999997,8.324999999999996,15.724432592644805,15.204708997654052,1.8423839985308363,1.7606636833822926
TRBG-native-burden,TRBG-native-burden,0.1,0.95,2,8,0.17344760504941864,0.19220908188137587,0.17344760504941864,0.19220908188137587,129.625,125.5,0.5425930788639677,0.5355962036498365,16.75,18.0,0.7502035802438327,0.7513679890560876,67.69375,61.574999999999996,19.506249999999998,18.724999999999998,16.75,18.0,7.875,8.5,0.0,0.0,5.88749999999999,5.949999999999989,20.219913744035555,18.673357223980076,1.8715704214849311,1.9067716060359245
TRBG-native-burden,TRBG-native-burden,0.1,1.0,1,8,0.09165344704797702,0.0968815415821501,0.09165344704797701,0.0968815415821501,101.75,98.0,0.3962841280570807,0.3761791173432909,12.875,13.5,0.5614660112643595,0.5699598911991148,44.162499999999994,44.075,10.29375,9.75,12.875,13.5,6.125,7.0,0.25,0.0,7.893749999999997,8.324999999999996,15.724432592644805,15.204708997654052,1.8423839985308363,1.7606636833822926
TRBG-native-burden,TRBG-native-burden,0.1,1.0,2,8,0.17344760504941864,0.19220908188137587,0.17344760504941859,0.19220908188137575,129.625,125.5,0.5425930788639677,0.5355962036498365,16.75,18.0,0.7502035802438327,0.7513679890560876,67.69375,61.574999999999996,19.506249999999998,18.724999999999998,16.75,18.0,7.875,8.5,0.0,0.0,5.88749999999999,5.949999999999989,20.219913744035555,18.673357223980076,1.8715704214849311,1.9067716060359245
TRBG-native-burden,TRBG-native-burden,0.25,0.8,1,8,0.09338801674457561,0.0968815415821501,0.09338801674457561,0.0968815415821501,104.0,99.0,0.39390877806719865,0.3872781796365109,13.0,13.5,0.573661584752563,0.5806593213642948,46.16875,44.075,10.4875,9.75,13.0,13.5,6.25,7.0,0.125,0.0,8.424999999999999,9.0,15.418427923702186,14.859467030794193,1.7899575110498254,1.7349042327566528
TRBG-native-burden,TRBG-native-burden,0.25,0.8,2,8,0.17305780120877068,0.18883184812088338,0.17305780120877068,0.18883184812088338,130.125,123.5,0.5398496095723193,0.5371438760040106,15.125,15.5,0.7527052368902343,0.744015047879617,69.8125,61.375,19.525,18.724999999999998,15.125,15.5,7.875,8.5,0.0,0.0,5.843749999999991,6.0249999999999915,20.052502751437096,18.34742471499321,1.8517826695089243,1.9012896230768495
TRBG-native-burden,TRBG-native-burden,0.25,0.9,1,8,0.09338801674457561,0.0968815415821501,0.09338801674457561,0.0968815415821501,104.0,99.0,0.39390877806719865,0.3872781796365109,13.0,13.5,0.573661584752563,0.5806593213642948,46.16875,44.075,10.4875,9.75,13.0,13.5,6.25,7.0,0.125,0.0,8.424999999999999,9.0,15.418427923702186,14.859467030794193,1.7899575110498254,1.7349042327566528
TRBG-native-burden,TRBG-native-burden,0.25,0.9,2,8,0.17305780120877068,0.18883184812088338,0.17305780120877068,0.18883184812088338,130.125,123.5,0.5398496095723193,0.5371438760040106,15.125,15.5,0.7527052368902343,0.744015047879617,69.8125,61.375,19.525,18.724999999999998,15.125,15.5,7.875,8.5,0.0,0.0,5.843749999999991,6.0249999999999915,20.052502751437096,18.34742471499321,1.8517826695089243,1.9012896230768495
TRBG-native-burden,TRBG-native-burden,0.25,0.95,1,8,0.09338801674457561,0.0968815415821501,0.09338801674457561,0.0968815415821501,104.0,99.0,0.39390877806719865,0.3872781796365109,13.0,13.5,0.573661584752563,0.5806593213642948,46.16875,44.075,10.4875,9.75,13.0,13.5,6.25,7.0,0.125,0.0,8.424999999999999,9.0,15.418427923702186,14.859467030794193,1.7899575110498254,1.7349042327566528
TRBG-native-burden,TRBG-native-burden,0.25,0.95,2,8,0.17305780120877068,0.18883184812088338,0.17305780120877068,0.18883184812088338,130.125,123.5,0.5398496095723193,0.5371438760040106,15.125,15.5,0.7527052368902343,0.744015047879617,69.8125,61.375,19.525,18.724999999999998,15.125,15.5,7.875,8.5,0.0,0.0,5.843749999999991,6.0249999999999915,20.052502751437096,18.34742471499321,1.8517826695089243,1.9012896230768495
TRBG-native-burden,TRBG-native-burden,0.25,1.0,1,8,0.09338801674457561,0.0968815415821501,0.09338801674457561,0.0968815415821501,104.0,99.0,0.39390877806719865,0.3872781796365109,13.0,13.5,0.573661584752563,0.5806593213642948,46.16875,44.075,10.4875,9.75,13.0,13.5,6.25,7.0,0.125,0.0,8.424999999999999,9.0,15.418427923702186,14.859467030794193,1.7899575110498254,1.7349042327566528
