method,B,holdout_id,proxy,proxy_kind,proxy_score,proxy_weighted_success,backend_fail,cost,recover_fail
source_frozen_transfer,2,cfB_backloaded_0_seed20260521_off1140,success_burden_proxy,signed,-5.7814941199969745,-80.83171046938045,133,0.6918275160619302,7
source_frozen_transfer,2,cfB_backloaded_1_seed20260522_off1200,product_proxy,positive,0.16159999999999994,20.199999999999992,132,0.4288685609462753,9
source_frozen_transfer,2,cfB_backloaded_1_seed20260522_off1200,additive_proxy,positive,0.15200330441966134,73.60000000000002,132,0.4288685609462753,9
source_frozen_transfer,2,cfB_backloaded_1_seed20260522_off1200,backend_success_proxy,positive,0.35469710272168564,20.199999999999992,132,0.4288685609462753,9
source_frozen_transfer,2,cfB_backloaded_1_seed20260522_off1200,recovery_aware_proxy,positive,0.16659793814432985,20.199999999999992,132,0.4288685609462753,9
source_frozen_transfer,2,cfB_backloaded_1_seed20260522_off1200,burden_proxy,burden,-0.8915747465775923,-194.3632947539151,132,0.4288685609462753,9
source_frozen_transfer,2,cfB_backloaded_1_seed20260522_off1200,success_burden_proxy,signed,-2.9242988097741103,-76.98164737695757,132,0.4288685609462753,9
source_frozen_transfer,2,cfC_interleaved_0_seed20260611_off1260,product_proxy,positive,0.18490566037735842,17.15,109,0.4827075379896794,11
source_frozen_transfer,2,cfC_interleaved_0_seed20260611_off1260,additive_proxy,positive,0.16376217324449002,63.89999999999999,109,0.4827075379896794,11
source_frozen_transfer,2,cfC_interleaved_0_seed20260611_off1260,backend_success_proxy,positive,0.5418641390205371,17.15,109,0.4827075379896794,11
source_frozen_transfer,2,cfC_interleaved_0_seed20260611_off1260,recovery_aware_proxy,positive,0.1972397929844738,17.15,109,0.4827075379896794,11
source_frozen_transfer,2,cfC_interleaved_0_seed20260611_off1260,burden_proxy,burden,-0.9845567436921812,-169.34375991505516,109,0.4827075379896794,11
source_frozen_transfer,2,cfC_interleaved_0_seed20260611_off1260,success_burden_proxy,signed,-4.47714207354416,-67.5218799575276,109,0.4827075379896794,11
source_frozen_transfer,2,cfC_interleaved_1_seed20260612_off1320,product_proxy,positive,0.20817438692098075,19.09999999999999,121,0.6860837076754942,3
source_frozen_transfer,2,cfC_interleaved_1_seed20260612_off1320,additive_proxy,positive,0.1953608247422681,75.80000000000001,121,0.6860837076754942,3
source_frozen_transfer,2,cfC_interleaved_1_seed20260612_off1320,backend_success_proxy,positive,0.797494780793319,19.09999999999999,121,0.6860837076754942,3
source_frozen_transfer,2,cfC_interleaved_1_seed20260612_off1320,recovery_aware_proxy,positive,0.21545403271291586,19.09999999999999,121,0.6860837076754942,3
source_frozen_transfer,2,cfC_interleaved_1_seed20260612_off1320,burden_proxy,burden,-1.0375961679785728,-211.66961826762883,121,0.6860837076754942,3
source_frozen_transfer,2,cfC_interleaved_1_seed20260612_off1320,success_burden_proxy,signed,-13.021260245456713,-86.73480913381442,121,0.6860837076754942,3
source_frozen_transfer,2,cfD_tailheavy_0_seed20260621_off1380,product_proxy,positive,0.08569454042847269,12.399999999999999,115,0.4157160810375663,8
source_frozen_transfer,2,cfD_tailheavy_0_seed20260621_off1380,additive_proxy,positive,0.07590689872090588,36.199999999999996,115,0.4157160810375663,8
source_frozen_transfer,2,cfD_tailheavy_0_seed20260621_off1380,backend_success_proxy,positive,0.17415730337078644,12.399999999999999,115,0.4157160810375663,8
source_frozen_transfer,2,cfD_tailheavy_0_seed20260621_off1380,recovery_aware_proxy,positive,0.08757062146892652,12.399999999999999,115,0.4157160810375663,8
source_frozen_transfer,2,cfD_tailheavy_0_seed20260621_off1380,burden_proxy,burden,-0.7960358606902884,-158.4111362773674,115,0.4157160810375663,8
source_frozen_transfer,2,cfD_tailheavy_0_seed20260621_off1380,success_burden_proxy,signed,-1.5555823395032207,-66.8055681386837,115,0.4157160810375663,8
source_frozen_transfer,2,cfD_tailheavy_1_seed20260622_off1440,product_proxy,positive,0.19412166780587833,28.400000000000002,91,0.37178617262373387,6
source_frozen_transfer,2,cfD_tailheavy_1_seed20260622_off1440,additive_proxy,positive,0.17006382540662965,82.6,91,0.37178617262373387,6
source_frozen_transfer,2,cfD_tailheavy_1_seed20260622_off1440,backend_success_proxy,positive,0.3212669683257918,28.400000000000002,91,0.37178617262373387,6
source_frozen_transfer,2,cfD_tailheavy_1_seed20260622_off1440,recovery_aware_proxy,positive,0.20329277022190412,28.400000000000002,91,0.37178617262373387,6
source_frozen_transfer,2,cfD_tailheavy_1_seed20260622_off1440,burden_proxy,burden,-0.7454026332561805,-142.37190295193048,91,0.37178617262373387,6
source_frozen_transfer,2,cfD_tailheavy_1_seed20260622_off1440,success_burden_proxy,signed,-0.7651643010506769,-42.78595147596525,91,0.37178617262373387,6
topk_expected_consequence,1,cfA_frontloaded_0_seed20260511_off1020,product_proxy,positive,0.06533945890760594,6.4,121,0.36277079329260553,9
topk_expected_consequence,1,cfA_frontloaded_0_seed20260511_off1020,additive_proxy,positive,0.061725758222981625,28.9,121,0.36277079329260553,9
topk_expected_consequence,1,cfA_frontloaded_0_seed20260511_off1020,backend_success_proxy,positive,0.27061310782241016,6.4,121,0.36277079329260553,9
topk_expected_consequence,1,cfA_frontloaded_0_seed20260511_off1020,recovery_aware_proxy,positive,0.06801275239107334,6.4,121,0.36277079329260553,9
topk_expected_consequence,1,cfA_frontloaded_0_seed20260511_off1020,burden_proxy,burden,-0.7838084192866397,-184.19497853236032,121,0.36277079329260553,9
topk_expected_consequence,1,cfA_frontloaded_0_seed20260511_off1020,success_burden_proxy,signed,-21.498084241855853,-85.69748926618016,121,0.36277079329260553,9
topk_expected_consequence,1,cfA_frontloaded_1_seed20260512_off1080,product_proxy,positive,0.07302231237322516,7.2,134,0.5923808443376258,6
topk_expected_consequence,1,cfA_frontloaded_1_seed20260512_off1080,additive_proxy,positive,0.07115302186026576,33.2,134,0.5923808443376258,6
topk_expected_consequence,1,cfA_frontloaded_1_seed20260512_off1080,backend_success_proxy,positive,0.289738430583501,7.2,134,0.5923808443376258,6
topk_expected_consequence,1,cfA_frontloaded_1_seed20260512_off1080,recovery_aware_proxy,positive,0.07627118644067796,7.2,134,0.5923808443376258,6
topk_expected_consequence,1,cfA_frontloaded_1_seed20260512_off1080,burden_proxy,burden,-0.8190190781786921,-191.65046429381397,134,0.5923808443376258,6
topk_expected_consequence,1,cfA_frontloaded_1_seed20260512_off1080,success_burden_proxy,signed,-15.423087496074052,-88.625232146907,134,0.5923808443376258,6
topk_expected_consequence,1,cfB_backloaded_0_seed20260521_off1140,product_proxy,positive,0.11035313001605135,13.749999999999998,75,0.306178791522794,4
topk_expected_consequence,1,cfB_backloaded_0_seed20260521_off1140,additive_proxy,positive,0.10756112595027738,52.35,75,0.306178791522794,4
topk_expected_consequence,1,cfB_backloaded_0_seed20260521_off1140,backend_success_proxy,positive,0.4050073637702504,13.749999999999998,75,0.306178791522794,4
topk_expected_consequence,1,cfB_backloaded_0_seed20260521_off1140,recovery_aware_proxy,positive,0.11593591905564923,13.749999999999998,75,0.306178791522794,4
topk_expected_consequence,1,cfB_backloaded_0_seed20260521_off1140,burden_proxy,burden,-0.5347439853611944,-111.76149294048962,75,0.306178791522794,4
topk_expected_consequence,1,cfB_backloaded_0_seed20260521_off1140,success_burden_proxy,signed,-3.0134047835233266,-42.13074647024481,75,0.306178791522794,4
topk_expected_consequence,1,cfB_backloaded_1_seed20260522_off1200,product_proxy,positive,0.09639999999999999,12.049999999999999,101,0.31366003428433686,9
topk_expected_consequence,1,cfB_backloaded_1_seed20260522_off1200,additive_proxy,positive,0.09448574969021066,45.75,101,0.31366003428433686,9
topk_expected_consequence,1,cfB_backloaded_1_seed20260522_off1200,backend_success_proxy,positive,0.21158911325724322,12.049999999999999,101,0.31366003428433686,9
topk_expected_consequence,1,cfB_backloaded_1_seed20260522_off1200,recovery_aware_proxy,positive,0.09938144329896907,12.049999999999999,101,0.31366003428433686,9
topk_expected_consequence,1,cfB_backloaded_1_seed20260522_off1200,burden_proxy,burden,-0.6597073832692051,-143.8162095526867,101,0.31366003428433686,9
topk_expected_consequence,1,cfB_backloaded_1_seed20260522_off1200,success_burden_proxy,signed,-2.273827470795192,-59.85810477634332,101,0.31366003428433686,9
topk_expected_consequence,1,cfC_interleaved_0_seed20260611_off1260,product_proxy,positive,0.06846361185983824,6.349999999999999,85,0.27375142978542716,10
topk_expected_consequence,1,cfC_interleaved_0_seed20260611_off1260,additive_proxy,positive,0.06035366478728859,23.550000000000004,85,0.27375142978542716,10
topk_expected_consequence,1,cfC_interleaved_0_seed20260611_off1260,backend_success_proxy,positive,0.20063191153238544,6.349999999999999,85,0.27375142978542716,10
topk_expected_consequence,1,cfC_interleaved_0_seed20260611_off1260,recovery_aware_proxy,positive,0.07303047728579642,6.349999999999999,85,0.27375142978542716,10
topk_expected_consequence,1,cfC_interleaved_0_seed20260611_off1260,burden_proxy,burden,-0.7039103125084173,-121.07257375144778,85,0.27375142978542716,10
topk_expected_consequence,1,cfC_interleaved_0_seed20260611_off1260,success_burden_proxy,signed,-3.5929050691870024,-54.186286875723894,85,0.27375142978542716,10
