holdout_id,budget,comparator,match_type,comparator_scheduler_recall,comparator_absolute_recall,source_retained_absolute_recall,source_retained_scheduler_recall,source_retained_served_attack_mass,source_retained_backend_fail,source_retained_cost,source_retained_clean,source_retained_served_count,source_minus_comparator_scheduler_recall,source_minus_comparator_absolute_recall
cfD_tailheavy_1_seed20260622_off1440,1,winner_replay,backend_fail,0.046479835953520156,0.0457912457912458,0.0026936026936026937,0.0027341079972658913,12.100000000000007,58,85.69741736911692,10,59,-0.04374572795625426,-0.04309764309764311
cfD_tailheavy_1_seed20260622_off1440,1,winner_replay,clean_service,0.046479835953520156,0.0457912457912458,0.0,0.0,0.0,7,17.059798327823955,7,7,-0.046479835953520156,-0.0457912457912458
cfA_frontloaded_0_seed20260511_off1020,2,topk_expected_consequence,served_count,0.1470137825421133,0.1391304347826087,0.16570048309178742,0.1750893312914752,70.20000000000002,151,289.52595737406773,7,182,0.028075548749361884,0.026570048309178723
cfA_frontloaded_0_seed20260511_off1020,2,topk_expected_consequence,cost,0.1470137825421133,0.1391304347826087,0.13671497584541062,0.14446145992853496,59.70000000000002,141,258.8678095249361,7,168,-0.0025523226135783506,-0.0024154589371980784
cfA_frontloaded_0_seed20260511_off1020,2,topk_expected_consequence,backend_fail,0.1470137825421133,0.1391304347826087,0.18019323671497584,0.19040326697294532,76.20000000000002,157,315.85339309732717,7,190,0.043389484430832015,0.04106280193236714
cfA_frontloaded_0_seed20260511_off1020,2,topk_expected_consequence,clean_service,0.1470137825421133,0.1391304347826087,0.18743961352657004,0.1980602348136804,80.70000000000002,172,324.8812513535813,17,206,0.051046452271567094,0.048309178743961345
cfA_frontloaded_1_seed20260512_off1080,2,topk_expected_consequence,served_count,0.1328600405679513,0.12657004830917873,0.15072463768115943,0.1582150101419878,71.85000000000001,153,354.0879670462964,12,183,0.02535496957403649,0.0241545893719807
cfA_frontloaded_1_seed20260512_off1080,2,topk_expected_consequence,cost,0.1328600405679513,0.12657004830917873,0.17246376811594205,0.1810344827586207,77.85000000000001,158,376.7816247570845,12,191,0.04817444219066938,0.04589371980676332
cfA_frontloaded_1_seed20260512_off1080,2,topk_expected_consequence,backend_fail,0.1328600405679513,0.12657004830917873,0.17246376811594205,0.1810344827586207,77.85000000000001,158,376.7816247570845,12,191,0.04817444219066938,0.04589371980676332
cfA_frontloaded_1_seed20260512_off1080,2,topk_expected_consequence,clean_service,0.1328600405679513,0.12657004830917873,0.17971014492753626,0.18864097363083165,79.35000000000001,168,421.86319021013696,21,202,0.055780933062880345,0.05314009661835753
cfB_backloaded_0_seed20260521_off1140,2,topk_expected_consequence,served_count,0.1617174959871588,0.15803921568627446,0.18862745098039216,0.19301765650080246,83.50000000000004,117,332.5269512525274,9,151,0.03130016051364368,0.030588235294117694
cfB_backloaded_0_seed20260521_off1140,2,topk_expected_consequence,cost,0.1617174959871588,0.15803921568627446,0.18745098039215688,0.19181380417335464,82.90000000000002,114,310.9797560831439,9,147,0.030096308186195853,0.029411764705882415
cfB_backloaded_0_seed20260521_off1140,2,topk_expected_consequence,backend_fail,0.1617174959871588,0.15803921568627446,0.18980392156862744,0.1942215088282503,83.95000000000006,119,347.8738439467206,9,154,0.0325040128410915,0.03176470588235297
cfB_backloaded_0_seed20260521_off1140,2,topk_expected_consequence,clean_service,0.1617174959871588,0.15803921568627446,0.19215686274509802,0.19662921348314594,86.35000000000015,133,373.5868586734423,9,170,0.03491171749598715,0.03411764705882356
cfB_backloaded_1_seed20260522_off1200,2,topk_expected_consequence,served_count,0.14479999999999996,0.14196078431372547,0.1584313725490196,0.16159999999999997,63.049999999999855,121,209.92262699680987,12,148,0.01680000000000001,0.016470588235294126
cfB_backloaded_1_seed20260522_off1200,2,topk_expected_consequence,cost,0.14479999999999996,0.14196078431372547,0.1584313725490196,0.16159999999999997,63.049999999999855,124,218.83559792428287,15,151,0.01680000000000001,0.016470588235294126
cfB_backloaded_1_seed20260522_off1200,2,topk_expected_consequence,backend_fail,0.14479999999999996,0.14196078431372547,0.1584313725490196,0.16159999999999997,63.049999999999855,123,215.48123724797415,14,150,0.01680000000000001,0.016470588235294126
cfB_backloaded_1_seed20260522_off1200,2,topk_expected_consequence,clean_service,0.14479999999999996,0.14196078431372547,0.1584313725490196,0.16159999999999997,63.049999999999855,132,231.58902291098866,23,159,0.01680000000000001,0.016470588235294126
cfC_interleaved_0_seed20260611_off1260,2,topk_expected_consequence,served_count,0.14016172506738528,0.13756613756613756,0.1814814814814815,0.18490566037735826,56.59999999999993,97,230.2245566333222,0,121,0.044743935309972976,0.043915343915343935
cfC_interleaved_0_seed20260611_off1260,2,topk_expected_consequence,cost,0.14016172506738528,0.13756613756613756,0.1814814814814815,0.18490566037735826,54.19999999999994,91,220.81197228609926,0,115,0.044743935309972976,0.043915343915343935
cfC_interleaved_0_seed20260611_off1260,2,topk_expected_consequence,backend_fail,0.14016172506738528,0.13756613756613756,0.1814814814814815,0.18490566037735826,58.59999999999992,102,237.65729785300573,0,126,0.044743935309972976,0.043915343915343935
cfC_interleaved_0_seed20260611_off1260,2,topk_expected_consequence,clean_service,0.14016172506738528,0.13756613756613756,0.1814814814814815,0.18490566037735826,60.599999999999916,109,260.6620705144269,2,133,0.044743935309972976,0.043915343915343935
cfC_interleaved_1_seed20260612_off1320,2,topk_expected_consequence,served_count,0.11662125340599436,0.1132275132275132,0.19365079365079357,0.19945504087193425,57.84999999999994,114,321.55622436586873,25,141,0.08283378746593989,0.08042328042328037
