comparison,left,right,slot_budget,metric,mean_delta_left_minus_right,median_delta_left_minus_right,min_delta,max_delta,bootstrap95_ci_low,bootstrap95_ci_high,exact_sign_test_p_two_sided,sign_flip_permutation_p_two_sided,n_holdouts,left_wins,left_losses,ties
oracle_vs_topk_expected_consequence,source_frozen::phase3_oracle_upgrade,source_frozen::topk_expected_consequence,1,delay_p95,-0.043750000000001066,0.125,-2.0,1.0,-0.7562499999999996,0.5625,0.6875,0.90625,8,2,4,2
oracle_vs_topk_expected_consequence,source_frozen::phase3_oracle_upgrade,source_frozen::topk_expected_consequence,1,backend_fail,-6.75,-4.5,-17.0,-1.0,-10.625,-3.375,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_winner_replay,source_frozen::phase3_oracle_upgrade,winner_replay::phase3_oracle_upgrade,2,recall,0.050829053202001456,0.0556195343219794,0.008400000000000019,0.08119891008174376,0.03420028911802972,0.06588878528318273,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_winner_replay,source_frozen::phase3_oracle_upgrade,winner_replay::phase3_oracle_upgrade,2,unnecessary,6.0,6.5,1.0,11.0,3.625,8.375,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_winner_replay,source_frozen::phase3_oracle_upgrade,winner_replay::phase3_oracle_upgrade,2,cost,0.10047509276835476,0.11411480298398743,0.011995063382244542,0.155523461573291,0.06670802701776143,0.13081222488765185,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_winner_replay,source_frozen::phase3_oracle_upgrade,winner_replay::phase3_oracle_upgrade,2,served_ratio,0.05188300716540299,0.04863662714535549,-0.015545321579618077,0.11643795015077318,0.023834723055330354,0.07942212640636132,0.0703125,0.0234375,8,7,1,0
source_frozen_vs_winner_replay,source_frozen::phase3_oracle_upgrade,winner_replay::phase3_oracle_upgrade,2,delay_p95,-0.21249999999999858,-0.22499999999999432,-2.0,4.0,-1.2624999999999993,1.1625000000000014,0.21875,0.8125,8,5,1,2
source_frozen_vs_winner_replay,source_frozen::phase3_oracle_upgrade,winner_replay::phase3_oracle_upgrade,2,backend_fail,12.25,9.0,2.0,30.0,6.625,18.753124999999727,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_anchored_retune,source_frozen::phase3_oracle_upgrade,anchored_retune::phase3_oracle_upgrade,2,recall,0.12292554696211379,0.13782428391005072,0.05805114029025569,0.16131237183868752,0.09439174759644524,0.14622540262440958,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_anchored_retune,source_frozen::phase3_oracle_upgrade,anchored_retune::phase3_oracle_upgrade,2,unnecessary,16.375,18.0,2.0,30.0,10.5,22.125,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_anchored_retune,source_frozen::phase3_oracle_upgrade,anchored_retune::phase3_oracle_upgrade,2,cost,0.3719937352188665,0.3867690803818501,0.17054922774503095,0.5134414099741392,0.2848396571026792,0.4528707124799086,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_anchored_retune,source_frozen::phase3_oracle_upgrade,anchored_retune::phase3_oracle_upgrade,2,served_ratio,0.4415090888974008,0.42524186847602885,0.2580953662844825,0.677746405046675,0.3551361023307049,0.5310887807381901,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_anchored_retune,source_frozen::phase3_oracle_upgrade,anchored_retune::phase3_oracle_upgrade,2,delay_p95,-2.3062500000000004,-2.0,-6.25,0.0,-3.65625,-1.1812500000000004,0.015625,0.015625,8,7,0,1
source_frozen_vs_anchored_retune,source_frozen::phase3_oracle_upgrade,anchored_retune::phase3_oracle_upgrade,2,backend_fail,82.0,72.5,55.0,139.0,65.875,101.875,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_native_safeguarded_retune,source_frozen::phase3_oracle_upgrade,native_safeguarded_retune::phase3_oracle_upgrade,2,recall,0.16161902558364585,0.16714948280745853,0.08569454042847269,0.2081743869209808,0.13636847002169136,0.18198879286933828,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_native_safeguarded_retune,source_frozen::phase3_oracle_upgrade,native_safeguarded_retune::phase3_oracle_upgrade,2,unnecessary,17.5,19.0,2.0,32.0,11.25,23.625,0.0078125,0.0078125,8,0,8,0
