stage,stage_label,aggregate,holdout_tag,family_tag,slot_budget,variant,proxy,proxy_recall,served_attack_jobs,served_clean_jobs,backend_fail_count,average_service_cost_per_step
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,topk_expected_consequence,burden_proxy,0.6533878904905143,134,22,138,0.6805170855289344
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,phase3_oracle_upgrade,current_product_proxy,0.8047667342799188,181,21,168,0.7812281300187721
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,phase3_oracle_upgrade,additive_proxy,0.8183669095585083,181,21,168,0.7812281300187721
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,phase3_oracle_upgrade,backend_success_weighted_proxy,0.7484909456740443,181,21,168,0.7812281300187721
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,phase3_oracle_upgrade,recovery_aware_proxy,0.8013771186440678,181,21,168,0.7812281300187721
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,phase3_oracle_upgrade,burden_proxy,0.8614318157136494,181,21,168,0.7812281300187721
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,phase3_proposed,current_product_proxy,0.8377281947261663,185,22,175,0.7822424253205824
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,phase3_proposed,additive_proxy,0.8483711958851264,185,22,175,0.7822424253205824
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,phase3_proposed,backend_success_weighted_proxy,0.688128772635815,185,22,175,0.7822424253205824
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,phase3_proposed,recovery_aware_proxy,0.8358050847457628,185,22,175,0.7822424253205824
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,phase3_proposed,burden_proxy,0.8713901995273121,185,22,175,0.7822424253205824
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,topk_expected_consequence,current_product_proxy,0.8377281947261663,185,22,175,0.7843372772917755
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,topk_expected_consequence,additive_proxy,0.8483711958851264,185,22,175,0.7843372772917755
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,topk_expected_consequence,backend_success_weighted_proxy,0.688128772635815,185,22,175,0.7843372772917755
