method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,component
source_frozen_transfer,,cfA_frontloaded_1_seed20260512_off1080,2,0.0,,0.18864097363083168,0.18864097363083168,168,0.7812281300187721,21,0.8632478632478633,79.35,18.6,21,21,181,11,9,2,0.0,7.0,16.470296152747505,2.0884316347036482,421.86319021013696,False,False,none
fail_only_alpha_0.25,,cfA_frontloaded_1_seed20260512_off1080,2,0.25,,0.18864097363083168,0.18864097363083168,159,0.7368626856813164,14,0.8247863247863247,79.05,18.6,14,14,179,10,9,1,0.0,7.0,17.021931500014862,2.061688343357051,397.90585026791086,False,False,fail_only
fail_only_alpha_0.5,,cfA_frontloaded_1_seed20260512_off1080,2,0.5,,0.18864097363083168,0.18864097363083168,155,0.69040545814624,11,0.8076923076923077,78.9,18.6,11,11,178,10,9,1,0.0,7.0,17.273030654463188,1.9725870232749716,372.8189473989696,False,False,fail_only
fail_only_alpha_1.0,,cfA_frontloaded_1_seed20260512_off1080,2,1.0,,0.18864097363083168,0.18864097363083168,150,0.6652932175258751,11,0.7863247863247863,77.45,18.6,11,11,173,10,9,1,0.0,7.0,17.62732464722965,1.9524909644781119,359.25833746397257,False,False,fail_only
cost_time_only_alpha_0.25,,cfA_frontloaded_1_seed20260512_off1080,2,0.25,,0.18103448275862072,0.18103448275862072,173,0.7951726841591861,21,0.8803418803418803,82.35,17.85,21,21,185,11,9,2,0.0,7.0,15.94925588311501,2.084433249737672,429.39324944596046,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfA_frontloaded_1_seed20260512_off1080,2,0.5,,0.17342799188640975,0.17342799188640975,173,0.780627002328457,22,0.8760683760683761,81.1,17.1,22,22,183,10,8,2,0.0,7.799999999999983,15.064545622104552,2.0562857622310573,421.5385812573668,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfA_frontloaded_1_seed20260512_off1080,2,1.0,,0.18610547667342803,0.18610547667342803,164,0.742010149091643,15,0.8461538461538461,81.1,18.35,15,15,183,9,8,1,0.0,8.0,15.93158713374475,2.023664042977208,400.6854805094872,False,False,cost_time_only
full_trbg_alpha_0.25,,cfA_frontloaded_1_seed20260512_off1080,2,0.25,,0.18103448275862072,0.18103448275862072,163,0.7361098986103335,16,0.8376068376068376,79.2,17.85,16,16,180,10,9,1,0.0,7.0,16.506845661572047,2.028057883926429,397.4993452495801,False,False,full_trbg
full_trbg_alpha_0.5,,cfA_frontloaded_1_seed20260512_off1080,2,0.5,,0.18103448275862072,0.18103448275862072,162,0.7133029059237777,13,0.8333333333333334,81.9,17.85,13,13,182,10,9,1,0.0,7.0,16.577751303941774,1.9753003548658457,385.1835691988399,False,False,full_trbg
full_trbg_alpha_1.0,,cfA_frontloaded_1_seed20260512_off1080,2,1.0,,0.18103448275862072,0.18103448275862072,159,0.7012410424773575,13,0.8205128205128205,81.1,17.85,13,13,179,10,9,1,0.0,7.449999999999989,16.77635136867563,1.972240431967568,378.67016293777306,False,False,full_trbg
