component,alpha,B,n,recall,recall_median,scheduler_recall,scheduler_recall_median,unnecessary,unnecessary_median,cost,cost_median,backend_fail,backend_fail_median,recover_fail,recover_fail_median,delay_p95,delay_p95_median,served_ratio,served_ratio_median,served_attack_mass,served_attack_mass_median,backend_success_attack_mass,backend_success_attack_mass_median,clean_service,clean_service_median,recall_retention_vs_source,backend_fail_reduction_vs_source,cost_delta_vs_source
fail_only,1.0,1,8,0.09685418175580951,0.09838287770100457,0.09685418175580951,0.09838287770100457,7.125,5.5,0.35079327382303216,0.35779640726676143,90.75,87.5,5.875,7.0,8.10625,8.574999999999996,0.5093044425552401,0.5034249376354639,43.48125,43.975,11.04375,10.925,7.125,5.5,1.0567434709259775,0.11678832116788321,-0.0373132875060066
fail_only,1.0,2,8,0.1818469956021827,0.19079828160867773,0.1818469956021827,0.19079828160867773,8.375,7.0,0.4913884102810401,0.4797044852501215,116.375,115.5,7.25,7.5,6.887499999999992,7.0,0.6905634231450654,0.734024962662684,67.325,63.57499999999999,20.5625,19.0,8.375,7.0,1.0260605107411984,0.10566762728146013,-0.06609279638202592
full_trbg,0.25,1,8,0.09853917874047444,0.09921752933100156,0.09853917874047444,0.09921752933100156,7.75,6.5,0.36620599827559613,0.3552324486974772,98.0,92.5,5.875,7.0,7.956249999999997,8.049999999999997,0.54733403291115,0.5683658446816342,46.45,44.6,11.21875,10.649999999999999,7.75,6.5,1.0751279075067741,0.046228710462287104,-0.021900563053442623
full_trbg,0.25,2,8,0.17347568533696073,0.18810791988547693,0.17347568533696073,0.18810791988547693,12.75,12.5,0.531903866770904,0.5354751037820371,127.25,121.0,7.75,8.5,6.6062499999999975,6.774999999999999,0.7386093258866446,0.744426072114359,69.40625,62.099999999999994,19.4875,18.724999999999998,12.75,12.5,0.9788259064087879,0.022094140249759846,-0.025577339892162043
full_trbg,0.5,1,8,0.10043285955317513,0.1004852778097034,0.10043285955317513,0.1004852778097034,7.75,6.0,0.36511574719670525,0.3498943685372461,97.875,92.5,5.875,6.5,8.299999999999994,8.449999999999989,0.5478025786538626,0.5640923404081299,46.981249999999996,44.0,11.425,10.649999999999999,7.75,6.0,1.0957892232967783,0.04744525547445255,-0.022990814132333504
full_trbg,0.5,2,8,0.17773203495689038,0.18863044892648018,0.17773203495689038,0.18863044892648018,10.25,9.0,0.5221030323640785,0.5396371745624546,125.0,118.5,7.875,8.5,6.556249999999999,6.575000000000003,0.7301117824508516,0.7462662684019629,70.34375,63.474999999999994,19.9875,19.25,10.25,9.0,1.002842097880393,0.0393852065321806,-0.035378174298987486
full_trbg,1.0,1,8,0.09283636545315584,0.09208448653792192,0.09283636545315584,0.09208448653792192,7.25,6.0,0.34522298292093523,0.33579266890267057,93.0,91.5,6.125,6.5,8.006249999999998,8.149999999999999,0.5181084042603327,0.5355994667921273,45.075,42.05,10.4375,9.05,7.25,6.0,1.0129064257076945,0.0948905109489051,-0.04288357840810353
full_trbg,1.0,2,8,0.17037316892686705,0.17164931685100848,0.17037316892686705,0.17164931685100848,10.0,9.0,0.512812829541936,0.519108763368616,120.375,117.5,7.625,8.0,6.706249999999997,6.5,0.7029679039642756,0.7323447834435673,68.41875,62.075,19.15625,18.974999999999998,10.0,9.0,0.9613201480002863,0.07492795389048991,-0.04466837712113003
none,0.0,1,8,0.09165344704797701,0.0968815415821501,0.09165344704797701,0.0968815415821501,13.5,15.5,0.38810656132903876,0.37500724609216063,102.75,96.5,6.125,7.0,7.9499999999999975,8.0,0.5657872606734398,0.563185824788631,44.537499999999994,43.875,10.29375,9.75,13.5,15.5,1.0,0.0,0.0
none,0.0,2,8,0.17722833468254356,0.19138132071835495,0.17722833468254356,0.19138132071835495,17.5,19.0,0.557481206663066,0.542169742470378,130.125,126.5,8.125,8.5,6.21875,7.0,0.7545682624678727,0.7567259461924305,67.8125,61.824999999999996,19.96875,19.25,17.5,19.0,1.0,0.0,0.0
