source,arm,ordinal,offset,objective,rmse_complex,rmse_magnitude,rmse_angle,ddd_loss,ddd_alarm,bdd_alarm,P_balance_pu,Q_balance_pu,returned_flow_pu,V_violation_pu,P_gen_violation_pu,Q_gen_violation_pu,active_limit_violation_pu
OPSD_DE_2016-05-15,D,59,1,8411.18619665578,0.002275244838987268,0.0003317961265631865,0.0021564188833310006,0.007048545405268669,1,0,7.2810731749362034e-09,3.4378529023548765e-08,4.696457461544267e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,D,60,2,8386.1410887003,0.002443947324108021,0.0003451236721684907,0.002300664136013512,0.008247836492955685,1,0,6.299020055555715e-08,4.054006115805642e-07,3.720308528245859e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,D,61,3,8362.579066471899,0.002110614012395644,0.00028835888311968047,0.0020052086646270817,0.009664635173976421,1,1,2.0610097739570676e-08,1.3002878712642385e-07,1.0087920413118926e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,D,62,4,8339.047684208308,0.0018048400443042407,0.00021798802616731155,0.0017230358868117136,0.011055037379264832,1,0,2.070922097696659e-08,1.3251040603678987e-07,9.036560719766055e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,D,63,5,8322.696560092298,0.001090145533326401,0.00035391549626870923,0.0009860781327237392,0.012602019123733044,1,0,2.0776177250825256e-08,1.345582919531907e-07,9.35593479949491e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,D,64,6,8306.374785702175,0.0013685962357231633,0.0004904781723796741,0.0012256199050503572,0.013946102000772953,1,0,2.0922358567876387e-08,1.365237579098455e-07,9.326619411365769e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,D,65,7,8290.082379045087,0.000769717153032819,0.0002511056627036091,0.000695752871197979,0.01584581844508648,1,0,2.1031727165388148e-08,1.3804367771097503e-07,9.298117831235686e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,D,66,8,8310.755925964024,0.0027161106275250227,0.0006278228926645661,0.00251956058634436,0.017115499824285507,1,0,2.1228311386511933e-08,1.4013326588013797e-07,9.012017851447574e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,D,67,9,8331.456243036448,0.0011150587688614224,0.0005561619230530744,0.0009325762760167786,0.018686950206756592,1,0,5.640773959036949e-11,3.0053182165090675e-10,1.803591922891276e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,D,68,10,8352.18544026199,0.002185542399877898,0.0003748294349066823,0.002060085324059481,0.02062254026532173,1,0,5.6556842542576646e-11,3.0025548714007755e-10,7.005534227155538e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,D,69,11,8375.505931554966,0.004048456628273648,0.0012229190175035778,0.003705909643097488,0.0222996324300766,1,0,5.6314730656481515e-11,2.977808555293393e-10,1.0269562977782698e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,D,70,12,8398.858343879172,0.0010350713533839326,0.0003454340125837717,0.0009419202590113437,0.02490517683327198,1,0,5.570027772350272e-11,2.9332253292935206e-10,9.012017851447574e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,N,63,1,15101.97417844738,0.00043422522618039857,0.0002350028723053173,0.0003543949693316492,0.006796491332352161,1,0,1.462057364065572e-09,1.112838193817467e-08,9.829745943304315e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,N,64,2,15301.789592247947,0.0013058562588334124,0.00041939480740063356,0.0011850258770714258,0.0072654192335903645,1,0,1.3459980907626345e-09,1.1361270174647942e-08,6.661338147750939e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,N,65,3,15501.814014331952,0.001809244719784477,0.0004400296248066249,0.0016976315479709904,0.007738872431218624,1,0,2.4802160325521072e-09,2.1487003176723363e-08,8.989550626504553e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,N,66,4,15555.094641739273,0.002094518601067601,0.0002842704151193945,0.002012848764260498,0.008946135640144348,1,0,3.62035679213335e-09,3.1430832825307675e-08,2.1784590829218225e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,N,67,5,15608.405635635605,0.0012353004259451873,0.000800537463891509,0.0009129507332869286,0.01030834298580885,1,0,5.620007959006301e-09,4.635416557541294e-08,9.424642647609475e-16,0.0,0.0,0.0,0.0
